Rank,Country,Score,GDP,Social_support,Healthy_life_expectancy,Freedom_of_choices,Generosity,Perceptions_of_corruption,ISO_alpha,Sub_region
1,Netherlands,99.7,10.932,0.942,72.4,0.913,0.175,0.338,NLD,Western Europe
2,Norway,99.4,11.053,0.954,73.3,0.96,0.093,0.27,NOR,Northern Europe
3,Sweden,99.2,10.867,0.934,72.7,0.945,0.086,0.237,SWE,Northern Europe
4,Denmark,98.7,10.933,0.954,72.7,0.946,0.03,0.179,DNK,Northern Europe
5,Finland,98.3,10.775,0.954,72.0,0.949,-0.098,0.186,FIN,Northern Europe
6,Canada,97.5,10.776,0.926,73.8,0.915,0.089,0.415,CAN,Northern America
7,Switzerland,97.1,11.117,0.942,74.4,0.919,0.025,0.292,CHE,Western Europe
8,New Zealand,96.8,10.643,0.948,73.4,0.929,0.134,0.242,NZL,Australia and New Zealand
9,France,96.4,10.704,0.942,74.0,0.822,-0.147,0.571,FRA,Western Europe
10,Germany,95.9,10.873,0.903,72.5,0.875,0.011,0.46,DEU,Western Europe
11,Luxembourg,95.7,11.647,0.908,72.6,0.907,-0.034,0.386,LUX,Western Europe
12,Austria,95.2,10.906,0.934,73.3,0.908,0.042,0.481,AUT,Western Europe
13,Italy,94.8,10.623,0.88,73.8,0.693,-0.084,0.866,ITA,Southern Europe
14,Spain,94.4,10.571,0.932,74.7,0.761,-0.081,0.745,ESP,Southern Europe
15,Japan,93.69,10.611,0.884,75.1,0.796,-0.258,0.638,JPN,Eastern Asia
16,Australia,92.08,10.796,0.94,73.9,0.914,0.159,0.442,AUS,Australia and New Zealand
17,United Kingdom,91.26,10.707,0.934,72.5,0.859,0.233,0.459,GBR,Northern Europe
18,Portugal,91.23,10.421,0.879,72.6,0.892,-0.244,0.887,PRT,Southern Europe
19,Singapore,90.68,11.488,0.915,76.953,0.927,-0.018,0.082,SGP,South-eastern Asia
20,United States,90.3,11.023,0.92,68.2,0.837,0.098,0.698,USA,Northern America
21,Ireland,89.67,11.342,0.947,72.4,0.879,0.077,0.363,IRL,Northern Europe
22,Belgium,89.11,10.823,0.906,72.199,0.783,-0.153,0.646,BEL,Western Europe
23,Iceland,88.73,10.878,0.983,73.0,0.955,0.16,0.673,ISL,Northern Europe
24,Poland,88.52,10.382,0.898,69.702,0.841,-0.165,0.735,POL,Eastern Europe
28,Greece,87.62,10.279,0.823,72.6,0.582,-0.288,0.823,GRC,Southern Europe
29,Israel,86.85,10.575,0.939,73.503,0.8,0.031,0.753,ISR,Western Asia
31,Malta,86.38,10.674,0.931,72.2,0.927,0.133,0.653,MLT,Southern Europe
32,Czech Republic,86.02,10.556,0.947,70.807,0.858,-0.208,0.868,CZE,Eastern Europe
33,Hungary,85.08,10.358,0.943,68.0,0.755,-0.186,0.876,HUN,Eastern Europe
34,Cyprus,84.96,10.576,0.802,73.898,0.763,-0.015,0.844,CYP,Western Asia
35,Russia,84.75,10.189,0.903,64.703,0.718,-0.111,0.845,RUS,Eastern Europe
